Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Arts,null,null,null,F,null,null,null,null,null,null,null,null,null,null,O,null,null,C,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Engineering and Technology,null,null,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,C,null,null,null,C,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,C,D,B,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,E,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,E,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,null,A,null,B,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,O,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,C,null,C,null,null,null,null,null,null,C,C,null,null,C,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,O,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,C,null,null,C,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,O,E,null,null,null,null,null,null,null,C,null,null,O,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,E,null,,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,A,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,O,null,E,null,null,null,null,null,null,null,C,null,null,E,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,E,B,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,D,E,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,D,C,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,null,null,null,A,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,D,null,O,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,A,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,E,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,,null,null,,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,,null,null,null,null,null,null,null,null,,,,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null
Faculty of Education,null,null,null,,,null,null,null,null,null,null,null,null,null,,,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null
Faculty of Science,C,C,null,null,null,null,null,null,null,null,E,null,E,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,E,E,F,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,E,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,E,O,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,B,D,null,null,E,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,B,null,null,null,null,null,null,null,D,null,E,B,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,D,E,E,D,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,null,C,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,C,B,null,null,null,null,null,null,null,null,null,null,null,A,null,null,O,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,C,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,B,D,B,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,O,F,O,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,D,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,null,A,null,B,A,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,null,C,null,A,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,C,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,A,null,C,A,null,null,null,null,null,null,null,null,null,null,null,A,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,O,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,D,null,null,B,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,E,null,null,null,null,O,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,F,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,null,null,D,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,B,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,,null,null,null,null,null,null,null,null,F,null,,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,null,B,null,A,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null
Faculty of Education,null,null,null,D,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,,null,null,null,,,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,A,A,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,E,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,,null,null,null,null,null,null,null,null,null,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,B,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,,null,null,,null,null,null,null,null,null,null,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,F,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,E,C,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null
Faculty of Social and Management Sciences,D,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,E,null,null,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,null,null,null,null,null,null,null,D,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,F,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,B,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,D,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,C,A,null,null,null,null,null,null,null,null,null,null,null,A,null,null,E,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,null,null,null,A,A,null,null,null,null,null,null,null,null,null,null,null,B,null,null,D,null,null,null,null
Faculty of Education,null,E,null,null,null,null,null,null,null,null,O,null,E,null,null,null,null,null,null,F,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,D,null,null,E,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,null,null,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,D,null,null,null,null,null,null,null,null,null,A,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,C,null,E,null,null,null,null,null,null,null,E,null,null,E,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,D,null,E,null,null,null,null,null,null,C,C,null,null,D,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,B,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,O,null,C,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,E,,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,C,null,O,D,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,A,null,C,C,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,C,C,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,B,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,B,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,D,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,D,null,null,null,null,null,null,null,null,E,B,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,C,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,O,null,D,C,E,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,E,null,null,null,C,E,null,null,null,null,null,null,null,E,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,B,B,null,null,null,null,null,null,null,B,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,O,null,E,D,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,O,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,D,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
